episode,total_reward
1,-37.8865791242
2,-37.9203112462
3,-38.1333918614
4,-36.0320578039
5,-124.954074184
6,-45.9488180955
7,-89.8241148613
8,-35.3236683998
9,-24.4058155535
10,-54.0921373214
11,-49.9372916586
12,-73.2432549185
13,-4.97471564008
14,-40.7348034002
15,-7.67697152225
16,-29.2406279529
17,-21.7847640152
18,-17.7477036621
19,-36.792021555
20,-18.7425764399
21,-92.1374320025
22,-48.8839213953
23,-49.8558178015
24,-72.5186743265
25,-73.4870084088
26,-65.5754475272
27,-78.6993602223
28,-71.8488304306
29,-112.314625974
30,-9.3465936933
31,-21.3275099655
32,-33.4947963412
33,-38.6324697402
34,-47.2838601097
35,-39.6554812414
36,-27.663737908
37,-30.8358361971
38,-33.0626672141
39,-21.4563561812
40,-19.3630287416
41,-21.2426533601
42,-20.6872385528
43,-18.7876813201
44,-24.5309659159
45,-23.0414910779
46,-7.94836816183
47,-28.1529689492
48,-124.091207549
49,-51.9424378072
50,-96.3977483495
51,-23.0906298052
52,-99.6915458927
53,-1288.1359831
54,-5.92346843092
55,-54.2738340681
56,-53.3999420033
57,-173.382598476
58,-178.382882284
59,-375.217621484
60,-1779.026366
61,-12.8234188501
62,-13.4311478539
63,-18.5200621132
64,-13.9656055775
65,-15.7103384999
66,-22.1757984536
67,-22.6695528869
68,-22.2449126102
69,-21.932084314
70,-20.4800743066
71,-21.6497998768
72,-22.4834501604
73,-23.1375617365
74,-22.8763739908
75,-22.1915526581
76,-22.9074211378
77,-22.2302578527
78,-22.6317052937
79,-20.9989201251
80,-22.4154819431
81,-22.9393347833
82,-22.1853609108
83,-23.5481242515
84,-23.117075145
85,-21.1592864226
86,-22.1272691964
87,-22.2248014285
88,-22.0392711
89,-22.89502081
90,-22.8514676295
91,-23.090232131
92,-22.1229470862
93,-22.5273992307
94,-22.6043176052
95,-22.471541243
96,-22.7922271046
97,-22.9818680124
98,-18.2645333787
99,-22.4413344038
100,-22.6112280386
101,-23.8608952331
102,-23.2881280369
103,-22.3950501577
104,-22.455877874
105,-22.9836193796
106,-22.3325347353
107,-18.9722603887
108,-3.2121180881
109,-17.9399043382
110,-23.4114055137
111,-2612.45105163
112,-2469.74972136
113,-2690.42049616
114,-2504.99227079
115,-2189.35637794
116,-2805.56874661
117,-2429.10208468
118,-2268.16979222
119,-2184.71146346
120,-2230.2203991
121,-2518.52752612
122,-2239.65693924
123,-2243.50151962
124,-2415.04447658
125,-2380.26449582
126,-2404.09114791
127,-2306.425905
128,-2185.18758444
129,-2729.61977518
130,-2496.89630631
131,-2405.97750069
132,-2416.43259932
133,-2643.3038235
134,-2296.81356537
135,-2245.08562435
136,-2365.3633464
137,-2449.87509765
138,-2284.10024196
139,-2159.07677862
140,-2660.66548973
141,-2499.69427645
142,-2654.94383525
143,-2510.12808486
144,-2273.97201328
145,-2289.36739129
146,-2658.13655648
147,-2446.4711095
148,-2199.17094522
149,-2291.82764692
150,-2363.17629882
151,-2394.09546568
152,-2469.8988273
153,-2394.17962212
154,-2284.7821352
155,-2702.10700175
156,-2239.52269517
157,-2698.45940145
158,-2262.50921601
159,-2426.92192194
160,-2243.79713045
161,-2225.49861688
162,-2595.21729713
163,-2494.64037987
164,-2685.66982612
165,-2615.88773001
166,-2573.63497417
167,-2578.34515809
168,-2588.16415787
169,-2184.13758217
170,-2314.36200603
171,-2380.72395248
172,-2353.70449384
173,-2452.70378088
174,-2309.78822062
175,-2615.98497718
176,-2425.39874541
177,-2329.62347987
178,-2178.5068005
179,-2263.78284908
180,-2683.55403426
181,-2249.87235339
182,-2715.96100575
183,-2262.20570851
184,-2464.86047749
185,-2205.74938425
186,-2521.25214391
187,-2334.50120343
188,-2689.48262746
189,-2446.37700273
190,-2513.55399252
191,-2646.55076073
192,-2593.35862312
193,-2345.89363854
194,-2560.2705837
195,-2674.24765442
196,-2350.51940776
197,-2197.53221396
198,-2295.59654348
199,-2578.13671714
200,-2554.55026141
201,-2444.55220162
202,-2804.01566993
203,-2388.86608772
204,-2555.13076335
205,-2380.56958682
206,-2346.93262083
207,-2481.36082824
208,-2206.43878337
209,-2253.16187297
210,-2632.79415014
211,-2317.56666869
212,-2497.46678128
213,-2599.00477566
214,-2533.56665342
215,-2408.59601659
216,-2454.63593298
217,-2171.76129855
218,-2542.69662921
219,-2514.2958115
220,-2300.05262659
221,-2735.81962926
222,-2217.67102963
223,-2676.30032276
224,-2455.28390566
225,-2673.87949921
226,-2229.21895393
227,-2576.42615157
228,-370.590538652
229,-1041.09418941
230,-961.471658358
231,-974.56963555
232,-1057.00937194
233,-1020.27990237
234,-1131.84675617
235,-1053.1791721
236,-1080.06583932
237,-1003.4044305
238,-1018.68156906
239,-978.807263464
240,-978.83149352
241,-1108.20849738
242,-943.610176055
243,-966.423447102
244,-945.124412461
245,-998.073066407
246,-1084.07608809
247,-1105.65448172
248,-960.120088292
249,-1183.62728782
250,-1051.03957039
251,-999.381050516
252,-950.360928972
253,-1132.85329385
254,-1326.713815
255,-963.238737426
256,-1031.56672579
257,-1039.41226448
258,-1056.85197737
259,-923.01325927
260,-1170.29943686
261,-1008.45432939
262,-463.662914654
263,-84.5845719853
264,-77.4282640222
265,-149.198956995
266,-2466.8928028
267,-2585.50772605
268,-2210.489139
269,-2430.40357849
270,-2767.6839171
271,-2284.2335202
272,-2214.44611919
273,-2590.01832907
274,-2218.89092069
275,-2300.92914511
276,-2622.99056067
277,-2150.91806241
278,-2656.61080529
279,-2153.09803214
280,-2278.68788064
281,-2372.2540844
282,-2475.71985174
283,-2432.29474955
284,-2367.87456933
285,-2240.1127623
286,-2346.96817269
287,-2383.12201173
288,-2574.32871596
289,-2309.01490212
290,-2204.35855167
291,-2142.77373831
292,-2252.56962354
293,-14.4305505004
294,-8.67632824151
295,-8.48409879786
296,-8.70604113702
297,-8.4306236376
298,-8.7457192618
299,-8.58699568499
300,-8.92102810861
301,-8.66992757459
302,-8.39796394091
303,-8.92210368501
304,-8.36461221575
305,-8.67364101529
306,-8.480491873
307,-8.36398632557
308,-8.73340552932
309,-8.72009849251
310,-7.04533848489
311,-2533.22785739
312,-2161.17654413
313,-2338.95935445
314,-2764.1345532
315,-2409.07942205
316,-2403.5947979
317,-2439.3393179
318,-2181.04377635
319,-2184.32666215
320,-2594.34986691
321,-2555.22333652
322,-2253.58262433
323,-2224.91684656
324,-2544.23274956
325,-2599.61140286
326,-2538.13179836
327,-2633.55913858
328,-2289.15775448
329,-2471.67016276
330,-2433.54207079
331,-2371.07358037
332,-2458.91669205
333,-2497.01703856
334,-2301.76167679
335,-2371.5793612
336,-2312.54016151
337,-2353.82549686
338,-2662.47815551
339,-188.941442473
340,-68.3102084532
341,-2700.15989647
342,-2572.38738294
343,-2165.89831172
344,-536.224252254
345,-2492.17006933
346,-2578.39031863
347,-2528.00676888
348,-2356.52414094
349,-2280.99070521
350,-2229.30928972
351,-175.703422626
352,-95.6940579033
353,-117.00862013
354,-198.011975365
355,-81.8299884531
356,-87.8737545187
357,-174.482314849
358,-47.4444293612
359,-31.2446228658
360,-1315.76444103
361,-2479.87915423
362,-2670.97996251
363,-2584.8981465
364,-2493.96865824
365,-2485.87259873
366,-2352.6635824
367,-2435.35734531
368,-2212.10727014
369,-2766.00082172
370,-2540.01281956
371,-2552.30516348
372,-2275.23544221
373,-2632.93830175
374,-2509.92278481
375,-2270.1913005
376,-114.981704015
377,-82.8315307378
378,-287.564880286
379,-2185.91109181
380,-107.884140466
381,-92.1317451282
382,-452.280521469
383,-85.2232645022
384,-2225.48527895
385,-369.976470219
386,-153.118100205
387,-30.2802099661
388,-93.4212106825
389,-120.245221767
390,-2744.928095
391,-229.685036329
392,-65.693297854
393,-2188.82315643
394,-2626.99195681
395,-2348.11323015
396,-215.205825573
397,-2748.77847054
398,-2238.71756264
399,-2413.61499211
400,-2223.5648506
401,-97.5071778947
402,-2322.63223307
403,-2243.64092054
404,-2349.34480991
405,-2337.57356725
406,-2649.73243822
407,-2620.78237261
408,-2722.50148205
409,-2635.99006119
410,-1374.87822481
411,-1493.65489271
412,-76.6698655425
413,13.4265367299
414,-2433.85402038
415,-2398.52120701
416,-72.4217855619
417,-2558.78450462
418,-95.6328280493
419,-2707.36302756
420,-2402.13624894
421,-2617.05544869
422,-2543.1702227
423,-3043.27152261
424,-42.3942891938
425,-2769.07531767
426,-2634.24459117
427,-2236.8394665
428,-2415.08480107
429,-2448.87712046
430,-2202.59476523
431,-2211.85809808
432,-2415.6369526
433,-41.3321025474
434,-2479.18119711
435,-2492.90891984
436,-2642.78591164
437,-2356.52887076
438,-2858.59526469
439,-2180.35246396
440,-2772.78475713
441,-2419.73949158
442,-2498.5108663
443,-2300.3068637
444,-2411.4025445
445,-2265.08761037
446,-2830.516224
447,-2547.78037627
448,-2494.4903119
449,-2497.72538979
450,-2496.8776083
451,-2382.27002041
452,-2146.69536496
453,-2169.84923361
454,-2797.68582487
455,-2707.77659076
456,-2413.34912799
457,-2703.01764271
458,-2290.22506519
459,-2497.67775378
460,-15.0398777899
461,-22.2926972361
462,-19.4071809925
463,-19.5990674055
464,-22.03355946
465,-21.4470172046
466,-29.408402877
467,-44.2600960779
468,-20.4077588742
469,-20.359606759
470,-25.5376400031
471,-22.1374411599
472,-33.2510604176
473,-24.0931046535
474,-24.865511403
475,-27.8374696704
476,-20.2552049664
477,-23.6798123597
478,-28.1715378672
479,-33.5912555597
480,-26.0805885952
481,-20.3087681333
482,-19.5919014465
483,-23.7428424562
484,-33.676528371
485,-24.4023195897
486,-27.2339747234
487,-20.1240935449
488,-25.4214857836
489,-19.4312781483
490,-24.4867463383
491,-34.9078856134
492,-28.8811682503
493,-23.0004824813
494,-20.1657895228
495,-20.4531081681
496,-25.5983938379
497,-25.0400794214
498,-20.4936487344
499,-22.4587200928
500,-21.300268074
501,-34.9305304878
502,-31.1251373015
503,-19.2061659489
504,-19.5652577402
505,-22.3483585851
506,-25.0727602509
507,-24.6583188604
508,-31.4207773978
509,-18.7573897324
510,-21.862266016
511,-24.8934982482
512,-19.648849084
513,-31.7331899402
514,-20.3767876174
515,-25.3881691245
516,-32.9181289352
517,-24.2534628253
518,-21.3049217162
519,-27.3593303189
520,-27.5703477112
521,-20.3769876663
522,-21.9457111557
523,-28.5450586782
524,-28.8973135981
525,-26.5164333868
526,-21.1711704309
527,-18.4841207613
528,-21.61462383
529,-27.9646090055
530,-32.5179204043
531,-24.6496218043
532,-20.7842144532
533,-29.8200375073
534,-18.6280666082
535,-27.6655742712
536,-21.1374681462
537,-22.7905148895
538,-24.2319513876
539,-23.5459351748
540,-18.5401675222
541,-20.1602891234
542,-20.0802873715
543,-23.033906955
544,-27.4561718527
545,-34.4438412125
546,-22.8299334839
547,-27.5135141363
548,-35.3647936345
549,-21.9454501598
550,-15.343886402
551,-2345.81972139
552,-2272.38969926
553,-2505.4108337
554,-2199.56760912
555,-2323.13691301
556,-2149.27068298
557,-2553.61797304
558,-2538.33272351
559,-2615.56175685
560,-2210.57357483
561,-2385.72873993
562,-2736.79386098
563,-2450.62870874
564,-2311.65964974
565,-2308.6149237
566,-2373.74068347
567,-2526.91141845
568,-2344.06766783
569,-2488.69812452
570,-2298.99662455
571,-2151.35722631
572,-11.8783336813
573,-26.7001138728
574,-14.8123292841
575,-2712.41705428
576,-2452.87775102
577,-2167.23439473
578,-2360.00994255
579,-2599.94645023
580,-2664.9572348
581,-2846.21988077
582,-2344.25000931
583,-2809.98026916
584,-26.3465752624
585,-25.4574351217
586,-25.8563515813
587,-24.5641839671
588,-18.1837030346
589,-26.1814581063
590,-20.886269248
591,-22.7104081952
592,-18.7773266958
593,-22.7063449444
594,-21.9372486324
595,-19.5905711517
596,-21.9770294394
597,-19.3703440469
598,-34.0963808114
599,-29.0466346605
600,-23.6511328838
601,-20.8761967739
602,-24.9667599632
603,-20.4926078165
604,-19.9109043002
605,-24.7711370731
606,-33.7255832143
607,-36.9488168135
608,-37.2704516094
609,-24.4803268629
610,-23.4299665062
611,-41.4998744692
612,-28.2936670665
613,-27.3746326884
614,-19.7354133696
615,-28.4694952611
616,-30.3070272759
617,-27.6534015673
618,-18.8010987699
619,-18.6488443356
620,-19.669852232
621,-32.2817111746
622,-27.1020096395
623,-25.3260097617
624,-17.4005377809
625,-20.6343172314
626,-27.1855256068
627,-32.979485322
628,-20.1244941942
629,-28.3536620721
630,-22.8774201762
631,-20.9247995336
632,-31.7873847195
633,-26.3064949247
634,-26.8223886372
635,-42.358577649
636,-30.5747214187
637,-19.9374972864
638,-22.0754050322
639,-12.8476339417
640,-24.0741405448
641,-25.2912836632
642,-22.0186516448
643,-22.9477723663
644,-25.745952581
645,-27.9062137843
646,-23.8814338483
647,-19.5165443471
648,-21.1187753562
649,-23.2832107342
650,-30.7133826991
651,-29.8349196949
652,-21.1594694562
653,-33.8839492342
654,-19.0784329342
655,-23.0856231851
656,-38.8726640882
657,-22.1617444365
658,-19.9122051221
659,-20.37702945
660,-20.8189743093
661,-22.0091720871
662,-29.6827284525
663,-19.6693423627
664,-27.1395185219
665,-26.1724345475
666,-28.2351657896
667,-20.6256030393
668,-20.5035971788
669,-20.167876553
670,-21.4409014419
671,-1079.97254924
672,-813.030011965
673,-704.014718546
674,-845.882087675
675,-945.791046393
676,-708.98594924
677,-883.666538747
678,-15.0654365919
679,-16.0924648641
680,-14.9921049517
681,-16.797302102
682,-17.6624409026
683,-15.8712018336
684,-15.8577781828
685,-15.4208616618
686,-15.4243417893
687,-16.6011897047
688,-15.8221189302
689,-15.2608760159
690,-16.1324078554
691,-17.8194537135
692,-16.0241017541
693,-16.2352074966
694,-16.0520220438
695,-16.2652899794
696,-15.4954994305
697,-17.399375765
698,-48.4280077563
699,-690.652919968
700,-858.184695733
701,-775.061442095
702,-765.891220967
703,-851.120201895
704,-787.768513478
705,-767.181590318
706,-696.22041352
707,-666.198397556
708,-696.333628581
709,-682.292470385
710,-675.044732543
711,-737.011366765
712,-849.071063297
713,-896.86254793
714,-901.913388849
715,-1017.41408964
716,-801.485535022
717,-758.705514685
718,-761.529916958
719,-873.187475803
720,-911.177172244
721,-764.788036188
722,-803.90569031
723,-831.916585026
724,-846.740457284
725,-668.700445872
726,-692.43851724
727,-832.735396527
728,-721.534153387
729,-93.4994990853
730,-22.4204023078
731,-19.8369008684
732,-31.8231156792
733,-33.5653205655
734,-21.8011855526
735,-24.2041238166
736,-20.3397544545
737,-33.3583745615
738,-26.8817880329
739,-19.9284663039
740,-23.1356296047
741,-26.8664578113
742,-20.9576897443
743,-33.452179181
744,-19.647542577
745,-2204.85973873
746,-2477.91372047
747,-2472.62241728
748,-2181.10146464
749,-2307.21323492
750,-2493.88973072
751,-2444.36430627
752,-2661.10809188
753,-2626.61174555
754,-2365.88117797
755,-2207.84017741
756,-2404.95421898
757,-2215.58343497
758,-2324.45985868
759,-2222.48671519
760,-2654.22296639
761,-2311.48142071
762,-2174.25487195
763,-2518.43947096
764,-2456.20426033
765,-2545.08770086
766,-2552.83782001
767,-2803.32152062
768,-97.9025543626
769,-21.3918499869
770,-21.223449492
771,-20.4473355365
772,-33.9711006566
773,-33.4591943466
774,-26.0498739407
775,-20.0704157099
776,-20.2037464028
777,-37.5526524471
778,-30.4424784458
779,-30.1398146143
780,-21.4819779427
781,-23.2082571247
782,-22.2881431307
783,-18.5215061468
784,-21.1018901978
785,-21.7996536497
786,-22.1691864666
787,-28.8298646086
788,-20.2050786355
789,-21.519623944
790,-21.0195801205
791,-31.5685434505
792,-25.1210542987
793,-27.7210697584
794,-22.0417867321
795,-17.7602225626
796,-22.1209964268
797,-21.683121011
798,-18.9186351287
799,-26.5942922765
800,-19.9922751241
801,-22.5395611442
802,-25.5640906025
803,-19.964288734
804,-23.9636839772
805,-28.2945380765
806,-18.9546650153
807,-28.8808497786
808,-22.0053121009
809,-19.6474077217
810,-32.0802305208
811,-19.0247841543
812,-21.256258566
813,-22.7222882743
814,-23.9679366595
815,-19.1786784257
816,-35.3554576464
817,-20.4339634824
818,-21.1010392339
819,-25.8353449697
820,-29.3768664474
821,-34.2440027322
822,-21.6982571478
823,-18.7314002301
824,-30.1600344012
825,-19.1995709104
826,-20.5650733436
827,-28.6348061023
828,-21.1966642861
829,-19.2504748083
830,-26.8980653558
831,-22.2106705838
832,-14.0252525196
833,-13.7756933862
834,-30.0980769381
835,-27.0261426981
836,-19.3549295564
837,-34.152919918
838,-20.1291190522
839,-21.5894778187
840,-21.3820765947
841,-35.3197595985
842,-19.4587178445
843,-29.1127029009
844,-27.9920910385
845,-20.0063600646
846,-19.633220927
847,-29.9822015687
848,-35.5482586132
849,-28.9991992493
850,-20.2724439815
851,-20.9133576939
852,-29.2964409411
853,-20.0155612168
854,-25.3849320526
855,-19.0025287795
856,-24.3366227216
857,-37.532628952
858,-22.9031863792
859,-24.4468502867
860,-20.2347057151
861,-22.0867354743
862,-20.8526580217
863,-18.0651721166
864,-28.6046121732
865,-24.5710265043
866,-30.1222748832
867,-25.5611200703
868,-23.1591925381
869,-27.7220150416
870,-20.245753256
871,-24.1964600864
872,-24.405742545
873,-26.3558034037
874,-20.0538897244
875,-31.7205335376
876,-20.8045120233
877,-29.5077916502
878,-22.9158107285
879,-23.5650137623
880,-32.0664918803
881,-23.3895374985
882,-19.8245096666
883,-18.2977871418
884,-32.9050577209
885,-20.6965207847
886,-17.0419637512
887,-25.3858686566
888,-25.9484863687
889,-24.9070596381
890,-22.1511509939
891,-23.7689619042
892,-33.7274067973
893,-25.3522738544
894,-30.9203962517
895,-23.3868540983
896,-21.8815076688
897,-35.4791251064
898,-20.7783363426
899,-29.4017375537
900,-32.2235303034
901,-32.6339714814
902,-29.4457786855
903,-23.6365128
904,-20.7983883712
905,-18.7936213101
906,-24.8389891898
907,-27.4107202147
908,-21.5663912489
909,-21.6921722196
910,-24.7844083872
911,-31.7106740065
912,-20.71197404
913,-22.2781187798
914,-22.6270259112
915,-39.7504784265
916,-21.2652322221
917,-29.1103248953
918,-29.5019406917
919,-21.038874065
920,-29.4482533042
921,-26.4244789849
922,-27.5750571339
923,-20.1316688424
924,-25.1286185214
925,-40.3839327522
926,-18.692058653
927,-18.2102996371
928,-19.7461035362
929,-23.2129416549
930,-29.2507496243
931,-25.5594216511
932,-24.3455975949
933,-23.1696158848
934,-21.0640787151
935,-25.5390843546
936,-30.0693047803
937,-23.5400825064
938,-23.3325569825
939,-23.7890518045
940,-18.6011794054
941,-25.5219454363
942,-19.9008093966
943,-18.6430680556
944,-19.9916418632
945,-27.4435954816
946,-32.7145143162
947,-30.0946478205
948,-21.04205339
949,-19.9391541469
950,-29.7012314253
951,-23.234215632
952,-36.7828758977
953,-27.5220580067
954,-36.2660785746
955,-22.0053932145
956,-24.1587533813
957,-26.9898652811
958,-19.4192836469
959,-31.7784904111
960,-19.5247990227
961,-25.2890908585
962,-19.2827904354
963,-25.7229488014
964,-24.2157285938
965,-26.332917681
966,-30.9028036201
967,-31.1227349652
968,-26.1489836981
969,-23.2948150441
970,-32.8451364304
971,-19.9746563864
972,-23.770829282
973,-24.0336685313
974,-28.0508015988
975,-29.2024702185
976,-19.4029849639
977,-24.2451972069
978,-25.4635900799
979,-18.8085007195
980,-28.4231099649
981,-20.3730333519
982,-18.2086933621
983,-19.4599152408
984,-28.0031393355
985,-26.6119860866
986,-23.4711041755
987,-18.870493217
988,-20.1727622175
989,-28.9907373206
990,-22.9104009713
991,-18.2369521413
992,-21.8320742721
993,-14.2786257722
994,-17.8148416944
995,-26.0821249386
996,-24.2668183042
997,-23.2423944424
